event_type,query_type,latency_ms,cache_key,timestamp
miss,Q4,36.554,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z5""}",1777435843.9700382
miss,Q1,10.315,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z3""}",1777435843.990972
miss,Q4,11.165,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z1"", ""zone_b"": ""Z5""}",1777435844.0152347
miss,Q3,13.483,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777435844.0409718
miss,Q3,11.151,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777435844.062659
miss,Q1,13.59,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777435844.0884356
miss,Q2,11.071,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z5""}",1777435844.1093464
miss,Q1,13.277,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777435844.1361809
miss,Q5,25.591,"Q5:{""bins"": 5, ""zone_id"": ""Z2""}",1777435844.1724284
hit,Q2,0.641,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z5""}",1777435844.18406
hit,Q5,0.733,"Q5:{""bins"": 5, ""zone_id"": ""Z2""}",1777435844.194521
miss,Q4,9.785,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z2"", ""zone_b"": ""Z4""}",1777435844.2143154
miss,Q3,9.678,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z4""}",1777435844.2355747
miss,Q1,10.99,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777435844.2570255
miss,Q2,11.041,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777435844.2797527
hit,Q2,0.774,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z5""}",1777435844.2913399
miss,Q1,10.958,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z3""}",1777435844.3120642
miss,Q4,11.205,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z3""}",1777435844.3362384
hit,Q1,0.802,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777435844.3482025
