event_type,query_type,latency_ms,cache_key,timestamp
miss,Q2,10.804,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z5""}",1777230632.7413063
hit,Q2,1.22,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777230632.7537606
hit,Q1,0.8,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777230632.7637691
miss,Q4,12.449,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z3"", ""zone_b"": ""Z2""}",1777230632.787223
hit,Q4,0.9,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z5"", ""zone_b"": ""Z4""}",1777230632.797673
miss,Q4,9.089,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z2"", ""zone_b"": ""Z5""}",1777230632.8164172
miss,Q4,9.5,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z2"", ""zone_b"": ""Z1""}",1777230632.835716
hit,Q2,0.702,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777230632.8451858
hit,Q1,0.587,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777230632.854236
hit,Q4,0.594,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z1"", ""zone_b"": ""Z4""}",1777230632.8628461
miss,Q3,8.668,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z4""}",1777230632.8799734
miss,Q3,8.45,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z4""}",1777230632.8969624
miss,Q3,9.325,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777230632.916152
hit,Q3,0.598,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777230632.9267669
hit,Q3,0.685,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777230632.9359715
hit,Q3,0.828,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777230632.9457822
hit,Q5,0.743,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777230632.9547248
hit,Q5,0.573,"Q5:{""bins"": 10, ""zone_id"": ""Z1""}",1777230632.963957
hit,Q1,0.811,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777230632.9746737
hit,Q5,1.223,"Q5:{""bins"": 10, ""zone_id"": ""Z2""}",1777230632.985537
miss,Q1,10.583,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777230633.0052762
hit,Q1,1.48,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777230633.0163162
miss,Q2,10.494,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777230633.0356448
hit,Q1,0.627,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777230633.0449867
hit,Q5,0.593,"Q5:{""bins"": 10, ""zone_id"": ""Z1""}",1777230633.0558012
hit,Q1,1.113,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777230633.0672925
hit,Q5,0.689,"Q5:{""bins"": 5, ""zone_id"": ""Z2""}",1777230633.0764651
miss,Q4,8.579,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z1"", ""zone_b"": ""Z2""}",1777230633.095406
miss,Q2,9.93,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z4""}",1777230633.1142879
hit,Q3,0.686,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777230633.1245522
miss,Q1,13.25,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z4""}",1777230633.1480582
miss,Q4,11.001,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z1"", ""zone_b"": ""Z3""}",1777230633.1706743
hit,Q4,1.796,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z2"", ""zone_b"": ""Z5""}",1777230633.1822019
miss,Q4,12.048,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z3"", ""zone_b"": ""Z4""}",1777230633.2054436
hit,Q3,0.702,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777230633.2144494
hit,Q2,0.657,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777230633.2247543
hit,Q3,1.366,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777230633.2362204
miss,Q4,13.362,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z3"", ""zone_b"": ""Z5""}",1777230633.2578435
hit,Q2,1.543,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777230633.2693803
hit,Q5,0.732,"Q5:{""bins"": 10, ""zone_id"": ""Z1""}",1777230633.278881
hit,Q1,0.696,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777230633.2902954
hit,Q2,0.922,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777230633.3009968
hit,Q2,0.867,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777230633.3128214
hit,Q5,0.836,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777230633.3246338
miss,Q4,10.778,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z4""}",1777230633.344831
miss,Q2,9.893,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777230633.3657393
