event_type,query_type,latency_ms,cache_key,timestamp
miss,Q1,9.218,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235429.6343186
miss,Q3,11.285,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z5""}",1777235429.6553748
hit,Q3,0.759,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z5""}",1777235429.6654809
miss,Q4,9.912,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z5"", ""zone_b"": ""Z4""}",1777235429.685484
hit,Q5,0.813,"Q5:{""bins"": 5, ""zone_id"": ""Z4""}",1777235429.6963959
miss,Q2,9.877,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777235429.716421
hit,Q1,0.888,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777235429.7274873
miss,Q4,10.989,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z4""}",1777235429.7468362
hit,Q2,0.768,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z3""}",1777235429.7577984
hit,Q1,0.676,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z4""}",1777235429.7681243
miss,Q1,10.677,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z4""}",1777235429.7886314
miss,Q4,10.832,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z4"", ""zone_b"": ""Z2""}",1777235429.808398
miss,Q5,12.118,"Q5:{""bins"": 10, ""zone_id"": ""Z4""}",1777235429.8308046
hit,Q1,0.652,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777235429.8430865
hit,Q4,0.893,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z2"", ""zone_b"": ""Z3""}",1777235429.8529897
hit,Q4,0.673,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z1"", ""zone_b"": ""Z4""}",1777235429.8638237
miss,Q4,11.343,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z2"", ""zone_b"": ""Z5""}",1777235429.8844948
hit,Q4,0.861,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z4""}",1777235429.8959217
miss,Q2,10.118,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777235429.9145937
hit,Q4,0.782,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z1"", ""zone_b"": ""Z3""}",1777235429.9262905
hit,Q1,0.71,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777235429.9360943
miss,Q3,10.987,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z5""}",1777235429.957023
miss,Q4,11.857,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z4"", ""zone_b"": ""Z3""}",1777235429.9785233
hit,Q5,0.675,"Q5:{""bins"": 5, ""zone_id"": ""Z5""}",1777235429.9900444
hit,Q1,0.853,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777235430.0007703
hit,Q5,0.713,"Q5:{""bins"": 10, ""zone_id"": ""Z4""}",1777235430.0122747
miss,Q4,10.845,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z5"", ""zone_b"": ""Z1""}",1777235430.0342774
miss,Q5,11.899,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777235430.0564935
miss,Q5,11.823,"Q5:{""bins"": 5, ""zone_id"": ""Z2""}",1777235430.0780265
hit,Q3,0.688,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235430.0889971
hit,Q1,0.842,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777235430.099697
hit,Q4,0.765,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z3"", ""zone_b"": ""Z5""}",1777235430.1107512
hit,Q2,1.304,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z4""}",1777235430.1222286
hit,Q2,0.63,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777235430.133989
miss,Q3,11.048,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z4""}",1777235430.1560793
hit,Q5,0.862,"Q5:{""bins"": 5, ""zone_id"": ""Z3""}",1777235430.1664984
hit,Q3,0.606,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z3""}",1777235430.1775675
hit,Q1,0.734,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z4""}",1777235430.189334
hit,Q3,0.697,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777235430.1994812
hit,Q1,0.753,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777235430.210395
hit,Q5,0.855,"Q5:{""bins"": 10, ""zone_id"": ""Z2""}",1777235430.2223876
hit,Q1,0.689,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777235430.2325084
hit,Q3,0.719,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777235430.2423992
hit,Q1,0.839,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777235430.253559
