event_type,query_type,latency_ms,cache_key,timestamp
miss,Q4,30.46,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z2""}",1777235231.8313375
miss,Q1,10.07,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777235231.851542
miss,Q1,11.353,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235231.8743792
miss,Q1,11.55,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z4""}",1777235231.898259
miss,Q5,15.276,"Q5:{""bins"": 10, ""zone_id"": ""Z1""}",1777235231.9264035
miss,Q5,12.718,"Q5:{""bins"": 10, ""zone_id"": ""Z4""}",1777235231.9513798
miss,Q1,11.799,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235231.9756896
miss,Q4,14.158,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z5"", ""zone_b"": ""Z1""}",1777235232.0025072
miss,Q1,12.12,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z4""}",1777235232.0249197
miss,Q2,10.637,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777235232.0452044
miss,Q3,9.873,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777235232.0662704
miss,Q1,11.988,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777235232.0891979
miss,Q4,10.22,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z1"", ""zone_b"": ""Z2""}",1777235232.110163
miss,Q1,10.836,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z5""}",1777235232.131582
miss,Q1,10.103,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z5""}",1777235232.1526227
hit,Q1,0.684,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235232.1632452
miss,Q5,10.981,"Q5:{""bins"": 5, ""zone_id"": ""Z3""}",1777235232.1851168
hit,Q1,0.655,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235232.195546
hit,Q3,0.93,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777235232.2066975
miss,Q2,10.385,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235232.2262528
miss,Q1,9.975,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777235232.2478952
miss,Q3,9.954,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z4""}",1777235232.268844
miss,Q5,13.044,"Q5:{""bins"": 10, ""zone_id"": ""Z2""}",1777235232.2921486
hit,Q2,0.588,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235232.302794
hit,Q2,0.886,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235232.3133829
miss,Q5,12.565,"Q5:{""bins"": 5, ""zone_id"": ""Z2""}",1777235232.3365562
miss,Q5,9.335,"Q5:{""bins"": 10, ""zone_id"": ""Z5""}",1777235232.3547337
miss,Q3,9.526,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z5""}",1777235232.3729856
hit,Q1,0.66,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z5""}",1777235232.3834476
hit,Q1,0.671,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235232.3935387
hit,Q1,0.786,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235232.4028842
hit,Q5,0.82,"Q5:{""bins"": 5, ""zone_id"": ""Z2""}",1777235232.4137118
miss,Q2,9.859,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777235232.4346557
hit,Q3,0.578,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777235232.4449158
hit,Q1,0.725,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777235232.4562933
miss,Q3,10.978,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777235232.4768307
hit,Q1,0.831,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z5""}",1777235232.487908
miss,Q4,10.544,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z4""}",1777235232.5089867
miss,Q4,10.277,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z1"", ""zone_b"": ""Z5""}",1777235232.5293572
hit,Q1,0.567,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777235232.5397716
miss,Q2,9.654,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z4""}",1777235232.558797
miss,Q1,9.19,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z3""}",1777235232.57663
hit,Q5,0.664,"Q5:{""bins"": 10, ""zone_id"": ""Z1""}",1777235232.588567
miss,Q3,9.593,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777235232.6075065
hit,Q5,0.594,"Q5:{""bins"": 5, ""zone_id"": ""Z2""}",1777235232.6167762
miss,Q3,9.466,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z3""}",1777235232.6351583
miss,Q5,10.901,"Q5:{""bins"": 5, ""zone_id"": ""Z5""}",1777235232.6563706
miss,Q2,8.335,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235232.6736598
hit,Q1,0.559,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235232.6824203
hit,Q5,0.585,"Q5:{""bins"": 5, ""zone_id"": ""Z3""}",1777235232.6923802
hit,Q3,0.727,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777235232.7026489
hit,Q5,0.56,"Q5:{""bins"": 10, ""zone_id"": ""Z4""}",1777235232.711974
hit,Q1,0.645,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777235232.7230563
hit,Q2,0.643,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777235232.7321405
miss,Q4,10.862,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z2"", ""zone_b"": ""Z3""}",1777235232.7529283
hit,Q4,0.6,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z2""}",1777235232.762657
hit,Q3,1.229,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z5""}",1777235232.773452
miss,Q4,10.859,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z4"", ""zone_b"": ""Z3""}",1777235232.7954617
miss,Q5,11.836,"Q5:{""bins"": 10, ""zone_id"": ""Z3""}",1777235232.8177705
hit,Q2,0.682,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235232.8301053
miss,Q4,10.739,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z4"", ""zone_b"": ""Z2""}",1777235232.8511107
hit,Q3,0.651,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777235232.8619168
hit,Q3,0.663,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777235232.8739166
miss,Q5,11.887,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777235232.8960233
hit,Q5,0.789,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777235232.9090476
hit,Q1,0.831,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235232.9216118
miss,Q2,11.34,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777235232.94338
hit,Q3,1.671,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777235232.954933
hit,Q5,0.877,"Q5:{""bins"": 10, ""zone_id"": ""Z1""}",1777235232.9652338
miss,Q4,10.865,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z1"", ""zone_b"": ""Z3""}",1777235232.987416
hit,Q1,0.688,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z3""}",1777235232.9980385
miss,Q4,10.95,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z2"", ""zone_b"": ""Z4""}",1777235233.019595
miss,Q4,10.82,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z4"", ""zone_b"": ""Z1""}",1777235233.0405817
miss,Q1,11.07,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z4""}",1777235233.0613077
hit,Q5,0.663,"Q5:{""bins"": 5, ""zone_id"": ""Z2""}",1777235233.07262
miss,Q3,11.44,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235233.0935776
hit,Q5,0.813,"Q5:{""bins"": 10, ""zone_id"": ""Z1""}",1777235233.105009
hit,Q5,0.586,"Q5:{""bins"": 5, ""zone_id"": ""Z2""}",1777235233.11698
hit,Q5,0.841,"Q5:{""bins"": 5, ""zone_id"": ""Z2""}",1777235233.1290977
hit,Q5,0.724,"Q5:{""bins"": 10, ""zone_id"": ""Z3""}",1777235233.1412861
hit,Q5,1.333,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777235233.1549585
miss,Q4,11.628,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z4"", ""zone_b"": ""Z1""}",1777235233.1760948
hit,Q5,1.204,"Q5:{""bins"": 10, ""zone_id"": ""Z4""}",1777235233.187387
miss,Q2,11.026,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z4""}",1777235233.2104292
hit,Q1,0.767,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235233.2216003
hit,Q3,0.684,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777235233.2331452
hit,Q5,0.671,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777235233.2442384
hit,Q4,0.678,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z1"", ""zone_b"": ""Z2""}",1777235233.2563214
miss,Q4,10.497,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z2"", ""zone_b"": ""Z1""}",1777235233.2777019
miss,Q3,9.788,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z3""}",1777235233.2996104
hit,Q3,0.721,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235233.3107147
miss,Q1,11.117,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z3""}",1777235233.3320873
hit,Q3,0.59,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777235233.344155
hit,Q2,0.788,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z4""}",1777235233.35525
hit,Q2,0.807,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235233.367392
miss,Q3,10.2,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235233.387987
hit,Q2,0.667,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z4""}",1777235233.4001844
hit,Q3,1.163,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z4""}",1777235233.4105473
hit,Q3,0.666,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235233.4201012
miss,Q4,9.562,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z5""}",1777235233.4385707
