event_type,query_type,latency_ms,cache_key,timestamp
miss,Q4,11.353,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z4"", ""zone_b"": ""Z3""}",1777232105.9319623
hit,Q3,0.672,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777232105.9436808
hit,Q1,0.604,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777232105.9548843
miss,Q1,10.566,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z4""}",1777232105.9749115
hit,Q5,0.762,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777232105.9872112
miss,Q3,10.852,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z5""}",1777232106.0086663
miss,Q4,12.395,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z5"", ""zone_b"": ""Z2""}",1777232106.0310009
miss,Q4,11.449,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z1"", ""zone_b"": ""Z5""}",1777232106.0544257
hit,Q1,0.85,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232106.0661728
hit,Q1,0.637,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777232106.0768833
hit,Q5,1.404,"Q5:{""bins"": 5, ""zone_id"": ""Z5""}",1777232106.0877228
hit,Q4,0.92,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z2"", ""zone_b"": ""Z4""}",1777232106.0987618
hit,Q4,0.834,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z2"", ""zone_b"": ""Z3""}",1777232106.1101973
miss,Q2,10.589,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232106.129754
hit,Q2,0.684,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232106.141469
hit,Q1,0.93,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232106.1537223
hit,Q1,0.732,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232106.1637993
miss,Q4,10.586,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z4"", ""zone_b"": ""Z3""}",1777232106.1862702
hit,Q2,0.7,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z4""}",1777232106.1981494
hit,Q1,0.743,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232106.2100983
hit,Q2,0.997,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232106.2197104
hit,Q1,0.769,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232106.2313614
hit,Q1,0.725,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232106.242096
hit,Q4,1.05,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z4""}",1777232106.252469
hit,Q2,0.839,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232106.2626963
hit,Q5,0.775,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777232106.2741113
hit,Q4,0.747,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z1"", ""zone_b"": ""Z2""}",1777232106.2864635
hit,Q3,0.776,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232106.297428
miss,Q3,11.03,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z5""}",1777232106.3188426
hit,Q2,0.787,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232106.3310063
hit,Q2,0.689,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z4""}",1777232106.341611
hit,Q3,0.659,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z5""}",1777232106.3549426
miss,Q1,9.38,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777232106.3736618
hit,Q5,0.719,"Q5:{""bins"": 5, ""zone_id"": ""Z4""}",1777232106.3845856
hit,Q1,0.867,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777232106.3951788
hit,Q2,0.849,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777232106.4053173
miss,Q4,10.134,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z2"", ""zone_b"": ""Z3""}",1777232106.4250424
miss,Q4,9.482,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z4"", ""zone_b"": ""Z1""}",1777232106.4460158
hit,Q5,0.698,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777232106.4582443
hit,Q1,0.736,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232106.4697318
miss,Q4,9.85,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z1"", ""zone_b"": ""Z4""}",1777232106.4885292
miss,Q4,10.331,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z4"", ""zone_b"": ""Z2""}",1777232106.5090148
hit,Q1,0.69,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232106.5198321
miss,Q3,10.042,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777232106.5395381
miss,Q5,11.979,"Q5:{""bins"": 10, ""zone_id"": ""Z1""}",1777232106.5607336
miss,Q4,10.039,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z1"", ""zone_b"": ""Z5""}",1777232106.582709
