event_type,query_type,latency_ms,cache_key,timestamp
hit,Q3,1.016,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777231347.8682632
hit,Q5,0.796,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777231347.8786952
hit,Q2,0.812,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z4""}",1777231347.8907402
hit,Q5,0.631,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777231347.9022276
miss,Q1,11.332,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z3""}",1777231347.9237623
hit,Q2,0.707,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777231347.9355404
miss,Q2,11.517,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777231347.9562933
hit,Q4,1.267,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z1"", ""zone_b"": ""Z4""}",1777231347.9692028
hit,Q2,0.725,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777231347.979281
hit,Q1,0.865,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777231347.990695
miss,Q1,9.967,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777231348.0106804
miss,Q4,11.498,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z5"", ""zone_b"": ""Z4""}",1777231348.0323172
hit,Q5,0.74,"Q5:{""bins"": 10, ""zone_id"": ""Z1""}",1777231348.0435486
hit,Q5,0.676,"Q5:{""bins"": 10, ""zone_id"": ""Z1""}",1777231348.054656
hit,Q1,0.757,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777231348.065348
miss,Q2,11.601,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z3""}",1777231348.0875516
hit,Q2,0.756,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777231348.0979936
hit,Q1,1.004,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777231348.1099854
hit,Q3,0.748,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z3""}",1777231348.1211348
hit,Q1,0.927,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777231348.1316762
hit,Q5,0.814,"Q5:{""bins"": 10, ""zone_id"": ""Z2""}",1777231348.142235
hit,Q2,0.806,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777231348.1549952
hit,Q2,0.723,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777231348.1659873
hit,Q5,0.755,"Q5:{""bins"": 10, ""zone_id"": ""Z2""}",1777231348.177191
hit,Q3,0.694,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777231348.1889813
miss,Q1,9.949,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777231348.2077563
miss,Q2,9.583,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z5""}",1777231348.228617
miss,Q5,11.763,"Q5:{""bins"": 5, ""zone_id"": ""Z4""}",1777231348.2510438
hit,Q3,0.826,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777231348.2622266
hit,Q3,0.683,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777231348.2733884
miss,Q4,9.869,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z3"", ""zone_b"": ""Z2""}",1777231348.2939394
hit,Q5,0.889,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777231348.3075373
hit,Q5,1.029,"Q5:{""bins"": 10, ""zone_id"": ""Z5""}",1777231348.3194408
hit,Q3,0.84,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777231348.3309715
miss,Q1,11.425,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777231348.3523624
hit,Q3,0.741,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777231348.3633146
hit,Q2,0.694,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777231348.3741481
miss,Q3,10.125,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z5""}",1777231348.3950708
hit,Q5,0.681,"Q5:{""bins"": 10, ""zone_id"": ""Z1""}",1777231348.4058359
hit,Q5,0.716,"Q5:{""bins"": 10, ""zone_id"": ""Z2""}",1777231348.4157872
hit,Q5,0.678,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777231348.428341
hit,Q1,0.751,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777231348.4395804
hit,Q2,0.684,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777231348.4487815
miss,Q4,11.23,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z1"", ""zone_b"": ""Z5""}",1777231348.4709196
