event_type,query_type,latency_ms,cache_key,timestamp
hit,Q2,0.779,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235283.696962
hit,Q5,0.65,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777235283.7087166
hit,Q1,0.771,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777235283.7205262
hit,Q1,0.745,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777235283.7300718
hit,Q2,0.655,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235283.7421622
miss,Q1,10.661,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777235283.7626476
hit,Q2,1.167,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235283.7740028
miss,Q1,11.817,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z4""}",1777235283.7950022
miss,Q4,9.497,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z4"", ""zone_b"": ""Z3""}",1777235283.81581
hit,Q4,0.724,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z4"", ""zone_b"": ""Z5""}",1777235283.8280785
miss,Q2,10.544,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777235283.8477569
hit,Q5,0.749,"Q5:{""bins"": 10, ""zone_id"": ""Z1""}",1777235283.8594022
miss,Q4,10.764,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z1"", ""zone_b"": ""Z2""}",1777235283.8816564
hit,Q5,0.575,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777235283.893016
miss,Q1,11.087,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z3""}",1777235283.913843
miss,Q2,10.294,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z4""}",1777235283.9351163
miss,Q4,11.954,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z3""}",1777235283.9579535
miss,Q2,11.275,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z5""}",1777235283.979569
hit,Q2,0.712,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777235283.991155
hit,Q1,0.769,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777235284.0017245
hit,Q2,0.612,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235284.013746
miss,Q4,9.7,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z1"", ""zone_b"": ""Z5""}",1777235284.0340765
hit,Q3,0.844,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235284.0453954
hit,Q5,0.734,"Q5:{""bins"": 10, ""zone_id"": ""Z3""}",1777235284.0561779
miss,Q2,10.555,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z4""}",1777235284.0772276
miss,Q1,9.689,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z4""}",1777235284.0979965
hit,Q4,0.677,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z1"", ""zone_b"": ""Z5""}",1777235284.1100528
hit,Q2,0.932,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235284.1215162
hit,Q1,0.878,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235284.1329587
hit,Q2,0.727,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z3""}",1777235284.1442504
hit,Q1,1.464,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235284.157174
hit,Q5,0.632,"Q5:{""bins"": 5, ""zone_id"": ""Z4""}",1777235284.1668296
hit,Q5,0.639,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777235284.178926
hit,Q3,0.745,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777235284.1908214
miss,Q3,10.674,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777235284.2102551
hit,Q1,0.818,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777235284.2216873
hit,Q2,0.84,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777235284.231944
hit,Q1,0.699,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777235284.2433994
hit,Q5,0.817,"Q5:{""bins"": 10, ""zone_id"": ""Z1""}",1777235284.2556593
miss,Q3,12.338,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777235284.2789924
hit,Q5,0.728,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777235284.290436
hit,Q5,0.813,"Q5:{""bins"": 5, ""zone_id"": ""Z2""}",1777235284.302131
hit,Q5,0.762,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777235284.3134527
hit,Q5,0.625,"Q5:{""bins"": 10, ""zone_id"": ""Z2""}",1777235284.3247721
miss,Q1,10.534,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z3""}",1777235284.3455486
