event_type,query_type,latency_ms,cache_key,timestamp
miss,Q2,36.004,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777232207.8070073
miss,Q4,11.321,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z4""}",1777232207.8294637
miss,Q5,14.092,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777232207.8556159
miss,Q4,10.477,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z1"", ""zone_b"": ""Z2""}",1777232207.8781965
miss,Q1,12.001,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z4""}",1777232207.9020212
miss,Q5,13.639,"Q5:{""bins"": 10, ""zone_id"": ""Z4""}",1777232207.9259026
hit,Q5,0.706,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777232207.9385386
hit,Q5,0.946,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777232207.9529068
miss,Q2,11.059,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777232207.9749866
miss,Q3,12.517,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232207.9986005
miss,Q5,11.224,"Q5:{""bins"": 5, ""zone_id"": ""Z2""}",1777232208.0207183
hit,Q3,0.728,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232208.031847
miss,Q2,10.879,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z4""}",1777232208.053198
miss,Q5,10.145,"Q5:{""bins"": 5, ""zone_id"": ""Z3""}",1777232208.073674
miss,Q1,10.411,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777232208.0933604
miss,Q4,11.528,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z4"", ""zone_b"": ""Z1""}",1777232208.1143014
miss,Q2,12.028,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232208.137592
miss,Q3,8.689,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777232208.15579
miss,Q5,12.511,"Q5:{""bins"": 10, ""zone_id"": ""Z2""}",1777232208.178449
hit,Q5,0.761,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777232208.1902416
miss,Q2,10.23,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777232208.2097237
miss,Q2,9.725,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777232208.2301598
hit,Q5,0.566,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777232208.2418478
miss,Q4,9.697,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z2"", ""zone_b"": ""Z5""}",1777232208.2628384
hit,Q2,0.696,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232208.2751672
miss,Q4,10.445,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z2"", ""zone_b"": ""Z1""}",1777232208.2985458
miss,Q1,10.387,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232208.3193552
hit,Q5,0.602,"Q5:{""bins"": 10, ""zone_id"": ""Z2""}",1777232208.3307188
miss,Q2,10.479,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z3""}",1777232208.3519008
hit,Q3,0.744,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777232208.362191
hit,Q5,0.939,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777232208.3737383
hit,Q2,0.728,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z3""}",1777232208.3862224
miss,Q2,11.055,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232208.4071503
miss,Q5,10.807,"Q5:{""bins"": 10, ""zone_id"": ""Z1""}",1777232208.4286945
miss,Q3,10.284,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z3""}",1777232208.4502962
miss,Q1,10.55,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777232208.4698236
hit,Q1,0.861,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777232208.479835
miss,Q1,9.716,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z5""}",1777232208.4997873
miss,Q1,10.773,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232208.5202456
hit,Q5,0.723,"Q5:{""bins"": 10, ""zone_id"": ""Z1""}",1777232208.5301392
hit,Q1,0.789,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777232208.5422602
hit,Q2,0.756,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232208.5534067
miss,Q4,10.713,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z1"", ""zone_b"": ""Z3""}",1777232208.574412
hit,Q2,1.334,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777232208.586579
miss,Q1,10.676,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z4""}",1777232208.6064534
hit,Q2,0.715,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z2""}",1777232208.618587
hit,Q1,0.886,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232208.6288326
miss,Q2,10.704,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z3""}",1777232208.6491268
hit,Q1,0.78,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232208.6615267
miss,Q1,10.703,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777232208.682188
miss,Q1,9.694,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z4""}",1777232208.701845
hit,Q1,0.7,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232208.713277
miss,Q3,10.384,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777232208.7344074
hit,Q5,0.705,"Q5:{""bins"": 5, ""zone_id"": ""Z2""}",1777232208.7452722
miss,Q4,10.991,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z3""}",1777232208.7666621
hit,Q5,0.786,"Q5:{""bins"": 5, ""zone_id"": ""Z3""}",1777232208.7781937
hit,Q2,0.688,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232208.7894185
hit,Q2,1.168,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z3""}",1777232208.8021753
hit,Q4,0.851,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z1"", ""zone_b"": ""Z3""}",1777232208.8123803
hit,Q2,0.858,"Q2:{""confidence_min"": 0.0, ""zone_id"": ""Z4""}",1777232208.8246396
miss,Q3,11.401,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z5""}",1777232208.8456655
miss,Q5,12.252,"Q5:{""bins"": 5, ""zone_id"": ""Z4""}",1777232208.8687317
hit,Q2,0.755,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z2""}",1777232208.8797157
hit,Q2,0.658,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232208.8893292
hit,Q2,0.714,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232208.8992052
hit,Q1,0.761,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z5""}",1777232208.9101806
hit,Q3,0.705,"Q3:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777232208.9228797
hit,Q2,1.539,"Q2:{""confidence_min"": 0.7, ""zone_id"": ""Z3""}",1777232208.9353008
miss,Q1,11.762,"Q1:{""confidence_min"": 0.5, ""zone_id"": ""Z2""}",1777232208.956742
hit,Q2,0.66,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z3""}",1777232208.9678323
hit,Q5,0.797,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777232208.9793983
miss,Q2,10.741,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z4""}",1777232209.0011861
miss,Q4,10.46,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z1"", ""zone_b"": ""Z3""}",1777232209.0211005
miss,Q3,10.762,"Q3:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232209.0421908
hit,Q5,0.705,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777232209.0533407
miss,Q4,11.1,"Q4:{""confidence_min"": 0.0, ""zone_a"": ""Z2"", ""zone_b"": ""Z1""}",1777232209.0742154
hit,Q5,0.716,"Q5:{""bins"": 5, ""zone_id"": ""Z1""}",1777232209.0862255
hit,Q1,0.661,"Q1:{""confidence_min"": 0.0, ""zone_id"": ""Z1""}",1777232209.0957947
hit,Q1,0.7,"Q1:{""confidence_min"": 0.7, ""zone_id"": ""Z1""}",1777232209.1064787
hit,Q3,0.731,"Q3:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232209.1165075
miss,Q4,10.835,"Q4:{""confidence_min"": 0.7, ""zone_a"": ""Z5"", ""zone_b"": ""Z1""}",1777232209.1377978
hit,Q2,1.284,"Q2:{""confidence_min"": 0.5, ""zone_id"": ""Z1""}",1777232209.1492891
miss,Q5,12.826,"Q5:{""bins"": 5, ""zone_id"": ""Z5""}",1777232209.1724122
miss,Q4,10.693,"Q4:{""confidence_min"": 0.5, ""zone_a"": ""Z1"", ""zone_b"": ""Z4""}",1777232209.1934364
